name,source,gender,wikidata,type
"Avenue Albert-Elisabeth",wikidata,+,Q55008046;Q235186,way
"Boulevard Albert-Élisabeth",wikidata,+,Q55008046;Q235186,way
"Rue Pierre et Marie Curie",wikidata,+,Q37463;Q7186,way
"Allée des Aubépines",wikidata,-,Q132557,way
"Allée des Bouleaux",wikidata,-,Q25243,way
"Allée des Boutons d'Or",wikidata,-,Q146130,way
"Allée des Buissons",wikidata,-,Q2083910,way
"Allée des Champs de Blé",wikidata,-,Q15645384,way
"Allée des Chardons",wikidata,-,Q538906,way
"Allée des Charmilles",wikidata,-,Q2961103,way
"Allée des Cytises",wikidata,-,Q157226,way
"Allée des Frênes",wikidata,-,Q128887,way
"Allée des Jasmins",wikidata,-,Q82014,way
"Allée des Lauriers",wikidata,-,Q26006,way
"Allée des Magnolias",wikidata,-,Q157017,way
"Allée des Mélèzes",wikidata,-,Q16665805,way
"Allée des Noisetiers",wikidata,-,Q145889,way
"Allée des Oiseaux",wikidata,-,Q5113,way
"Allée des Pins",wikidata,-,Q12024,way
"Allée des Plantes Sauvages",wikidata,-,Q2570868,way
"Allée des Roseaux",wikidata,-,Q2734060,way
"Allée des Saules",wikidata,-,Q145889,way
"Allée des Thuyas",wikidata,-,Q147255,way
"Allée du Cimetière",wikidata,-,Q39614,way
"Avenue d'Hyon",wikidata,-,Q2360484,way
"Avenue d'Ottawa",wikidata,-,Q1930,way
"Avenue de Conception",wikidata,-,Q185606,way
"Avenue de Cuesmes",wikidata,-,Q2269644,way
"Avenue de Jemappes",wikidata,-,Q1686757,way
"Avenue de Liège",wikidata,-,Q3992,way
"Avenue de Padoue",wikidata,-,Q617,way
"Avenue de l'Europe",wikidata,-,Q46,way
"Avenue de l'Hôpital",wikidata,-,Q16917,way
"Avenue de l'Université",wikidata,-,Q2230156,way
"Avenue de la Chapelle",wikidata,-,Q131396060,way
"Avenue de la Faïencerie",wikidata,-,Q209671,way
"Avenue de la France",wikidata,-,Q142,way
"Avenue de la Francophonie",wikidata,-,Q1003588,way
"Avenue de la Joyeuse Entrée",wikidata,-,Q1959157,way
"Avenue de la Joyeuse Entrée - Chaussée de Bruxelles",wikidata,-,Q1959157;Q239,way
"Avenue de la Libération",wikidata,-,Q732626,way
"Avenue de la Picardie",wikidata,-,Q1249603,way
"Avenue de la Poudrière",wikidata,-,Q17504814,way
"Avenue de la Sapinette",wikidata,-,Q1145286,way
"Avenue de la Wallonie",wikidata,-,Q83078,way
"Avenue des Acacias",wikidata,-,Q81666,way
"Avenue des Cèdres",wikidata,-,Q128550,way
"Avenue des Guérites",wikidata,-,Q2235514,way
"Avenue des Lilas",wikidata,-,Q6565319,way
"Avenue des Mimosas",wikidata,-,Q160110,way
"Avenue des Ormes",wikidata,-,Q131113,way
"Avenue des Pommiers",wikidata,-,Q104819,way
"Avenue des Roses",wikidata,-,Q64140922,way
"Avenue des Sapins",wikidata,-,Q127412969,way
"Avenue des Sorbiers",wikidata,-,Q157964,way
"Avenue des Sports",wikidata,-,Q349,way
"Avenue des Taillis",wikidata,-,Q1360410,way
"Avenue des Tulipes",wikidata,-,Q93201,way
"Avenue du Bélian",wikidata,-,Q16964577,way
"Avenue du Bois",wikidata,-,Q21764477,way
"Avenue du Champ de Bataille",wikidata,-,Q855271,way
"Avenue du Champ de Mars",wikidata,-,Q233778,way
"Avenue du Charbonnage",wikidata,-,Q959309,way
"Avenue du Grand Large",wikidata,-,Q2070988,way
"Avenue du Quatrième Middlesex",wikidata,-,Q6841933,way
"Avenue du Shape",wikidata,-,Q1432908,way
"Avenue du Tennis",wikidata,-,Q847,way
"Avenue du Vingt-Trois Août",wikidata,-,Q1417205,way
"Boulevard Initialis",wikidata,-,Q3151103,way
"Chasse du Bon Dieu de Pitié",wikidata,-,Q2964913,way
"Chaussée de Beaumont",wikidata,-,Q95100,way
"Chaussée de Binche",wikidata,-,Q95121,way
